Unnamed: 0,Coal_Share_PhasedOut,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,num_supply_policy,WDI_Coal_El_.,WDI_NG_El_.,Share_VRE_Gen,Coal_logCurrent_MW,Gas_logCurrent_MW,LogBP_GasR2P_yr,HHI_Coal_Import,HHI_Gas_Import,NetValue_Coal_Import,NetValue_Gas_Import,R_Choice
PRK-2001,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.8320374650078188,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,1.1832104208632481,-0.32096113005306487,-0.009018427413199167,0.24118461578843417,0.0
PRK-2002,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.7802232414378919,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.2661699388308521,0.0592808307293455,-0.010244266524520033,0.473545814759338,0.0
PRK-2003,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.7151957633040428,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.10867419369967031,-0.16855704496900925,-0.010341870893743584,0.9876949087952224,0.2
PRK-2004,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.6802779850109054,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.2761019501511421,0.4067017829964751,-0.016226426148711254,0.542162991705158,0.0
PRK-2005,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.6980738213279689,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,0.6885910880373729,0.9582536788406211,-0.019915749171544157,-0.0178886887234449,0.0
PRK-2006,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.2951582930670582,0.769783638072792,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,0.5695682366302035,0.9582536788406211,-0.002677078628245375,-0.014803925094676276,0.0
PRK-2007,-0.28227063795277585,0.4685135755361335,-0.30709211942732834,-0.023947539609002734,0.5329407992242845,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,0.27408366186108357,-0.1806132827435284,-0.03617566793254997,0.9304342019289015,0.0
PRK-2008,-0.28227063795277585,-0.016093027279433215,-0.30709211942732834,-0.023947539609002734,0.5810251527101723,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.8676103311505183,-0.8562645786009119,-0.032766558045355484,0.1522624667852264,0.0
PRK-2009,-0.28227063795277585,0.26082503147231817,-0.30709211942732834,-0.023947539609002734,0.6584455444756682,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.7150678409382671,0.9582536788406211,-0.05383657970930576,-0.015406949634713276,0.0
PRK-2010,-0.28227063795277585,0.4569753230881426,-0.30709211942732834,-0.023947539609002734,0.5621296302803335,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.7213494120019792,0.9582536788406211,-0.07318430091247563,-0.009690595663082549,0.0
