"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"GCI_Institution",0.262120742900874,0.150583182345036,0.0441216989502486,0.0467618249770546,-0.0177380149480118,0.0363842670898753,-0.0479078779785597,-0.127382507063183,0.0756455592494441,-0.0939108253219662,0.0788515315521982,0.0412942127364824,0.0245680626446151,0.0365600751903921,-0.0306779143757261,-0.0621634844469044,-0.0664466927817391,0.00280883798527398,0.00964759366090384,-0.135858533245035,0.210824997123753,0.0547118774066055,-0.281526885450908,-0.0156463508468113,0.030991936472031,0.0366583046093429,-0.0701406464799473,0.204477371933904,-0.142353557007513,-0.499064806182378,-0.424971056361932,-0.110029049281162,0.262206841984018,-0.130282180609505,0.329241286207276
"GCI_Finance",0.220516972486904,0.117427743565319,0.0781245379308136,0.21389538779305,0.0757339701909776,-0.0148252485897643,-0.0154047376497426,-0.230382669306289,0.0838470462126696,-0.0208905801847249,0.171038621092099,-0.0956021250049481,0.212027656957607,0.0940570072322317,-0.131889381142639,0.129762556526823,0.363156001960976,0.016977708602002,0.222910026077204,-0.165643976148514,-0.195247913502248,-0.203254032731596,0.191325159724904,-0.0613234185344224,-0.0672363733168765,-0.283540838896369,-0.100296091228838,-0.129703657564146,-0.0578423425056259,-0.128837180843308,0.185116000852498,-0.125079765265326,-0.0282698530928185,-0.392148814658932,-0.165015011609362
"GCI_Business",0.246053673925991,0.169698313973868,0.0340294983764211,0.121755635791958,0.0199266287047078,0.0251987933794323,0.0467847980994535,-0.100055989781967,0.114721579129096,0.0449777740575341,-0.0687095724837325,-0.113395091422082,0.0119280744226333,0.284179518280541,0.0734601167097588,-0.000409769146952267,0.0651080532379905,0.0103552940588711,0.085044831427055,-0.0305256240763707,0.0427890934102853,0.110089937125274,0.0497308627093807,0.415870873115626,0.299289904335139,-0.00255014519768281,0.0851213539123736,0.316815654672745,0.328294709127855,0.395988547302675,-0.245381814633213,-0.15670678195844,-0.0688643792165782,0.0187886221646188,-0.09409781762527
"GCI_Innovation",0.267714246544596,0.0628498307102811,0.00769157748982393,0.0824519173891081,0.0552860824246169,0.0220593804899811,0.0802912453422535,-0.0443566453026819,0.0104430129968183,-0.10964952820035,0.0087661723807603,-0.102991603182303,0.106391642499296,0.0659614320129433,0.0265960523410148,0.0918810550187032,0.0733276043670396,0.139862909874974,-0.0694573487555977,0.271672621394081,-0.214723153587818,0.0710023264589089,-0.213180196285286,0.191336262981352,-0.253183805767944,0.593644892673247,-0.00773761974171822,0.0170237650675803,-0.259926059544243,-0.00983386336029255,0.145142278919265,0.033044917065911,0.164916933588473,0.0565312853606876,-0.289967026980472
"WDI_CoalRents",-0.0540908204238643,-0.00117172906821167,0.309584106753952,0.233671933279947,0.181021515590787,-0.141488360503233,-0.225980934721908,0.0610029616250585,0.223276054268861,0.107658969362066,-0.187002263604863,0.350805993670538,0.340722623454597,-0.0333409505473543,0.0857310017085563,0.275466570443415,-0.195223971779261,-0.130469696386508,0.12930367773765,0.0508803799992846,-0.2283425098105,0.209755797209041,-0.159571132429792,0.0767364212305131,-0.0634285153004044,-0.172481632143093,-0.0436368084538106,0.00231580137487337,0.103150043713282,-0.0840579783038304,-0.0121986264774739,0.194697693907265,0.0183738000620611,0.159154704039267,-0.00972605671490534
"WDI_NGRents",-0.0192180193608501,0.296555955078298,0.0192436111283541,0.254455620455351,-0.0854778943679291,-0.186914405709961,0.0651273283043063,-0.0618254700418838,-0.0474472633223787,0.485564576839966,0.202411390721554,0.107843029126008,-0.247657526716306,-0.0409278725694585,-0.407120474989782,-0.310937974127883,-0.0855985660900095,-0.244036782648002,0.00507151373711961,0.0553924890146422,-0.0557682514748284,0.169356289170086,-0.102011707426827,0.0449710773469632,-0.132832913571996,0.0874187147769892,-0.100571174581291,-0.0591870413801716,0.0159489484096995,0.0990712957756754,0.0535531112610493,0.0491457849338977,-0.0316089211112716,-0.0981310585195177,0.0333900894069714
"WDI_OilRents",-0.0218858249966869,0.3097821488173,-0.216645996594234,0.139195114486978,0.117356650327882,0.141845947959122,-0.389896367877168,0.123584245865444,-0.0596952305083989,-0.084647855173236,0.0316287624753776,0.0707866961988291,-0.113994882273365,-0.259053849576078,0.172061961696176,0.10400019132926,-0.197894752310222,-0.181087559266843,-0.0247535030766294,-0.481007871058448,-0.0912945311789133,-0.154290643925486,-0.051116392717019,0.00316031526645027,0.0530077503651992,0.171558509473959,0.0506363108001876,0.143294278714067,-0.16692500423942,0.177220852128788,0.129247399837323,-0.123569698939836,-0.00952677781282525,-0.0774179675482778,-0.086176376006602
"GDPpc",0.249665769177782,0.122873655159737,-0.0816243666160531,-0.0768710001328072,0.035117951065778,-0.0680119068822898,-0.044044533659067,0.132614732528104,-0.00167016206984827,-0.12670220613157,0.00685775257500561,-0.0587472924038675,0.0736701865709256,-0.167861283875858,0.182422209650043,-0.193682246772118,-0.222631397288741,-0.0486168144489053,0.171964281510568,-0.00388831112433406,0.149464974496016,0.276572492291018,0.299440508881664,0.268231253725689,0.0404356531478743,0.148600876675082,-0.00787156737682628,-0.439644680499692,0.274481751659635,-0.285373279573955,0.160704518907294,-0.0312312543436969,-0.0837215597099309,-0.103039850451181,0.0207229805848421
"WDI_Manu_GDP_Perc",-0.0694030064972842,0.165228542817933,0.0277774873978705,-0.153298788170973,-0.00313577391483467,-0.498186065461027,0.249643223042869,0.158361968534326,0.0618527096643169,-0.0240054887454348,0.0578034274916432,-0.578874012686266,0.144354403866208,-0.109045357668049,0.109202728410075,0.0223177992304644,-0.186989683028079,-0.0144881362602421,-0.0236339207994337,-0.145103851143443,-0.235345124770913,0.143199150273873,-0.118502836730404,-0.0882121434904594,0.0543301368477573,-0.157807180295165,-0.0567543218874507,0.127828467910834,-0.113530942080436,0.0409462879950996,0.00556562156960661,-0.000352448292978094,0.0537627980500077,-0.00668610107303683,0.0237885812968582
"WDI_Coal_El_Perc",-0.0784173249957208,0.044912004832951,0.421214002497287,0.0840530462458554,0.199169741927642,-0.184562807567795,-0.0907197791033165,-0.0460687510563715,-0.281683042484597,0.0138199702086549,0.0224403058108113,0.0423259862492509,0.0212495391927556,0.0372025203431496,0.0496092439006623,-0.156911597630502,0.0827852601772037,0.0254235694711311,0.053446983464653,0.0504023257258597,-0.103815223577409,0.0150618276106944,0.0669203277909479,-0.358812956523226,0.374646857930997,0.26796659105231,0.320630084004957,-0.145266563013795,-0.0148766071372422,-0.0353528487687622,-0.0973976978789324,-0.313803510909618,0.0317130299232015,0.0797834135840056,-0.0501391162161371
