,Coal_Latitude,Coal_Longitude,Coal_Plant,Coal_Status,Coal_EndYr,Coal_StartYr,Coal_MW,Coal_TrackerLOC,Transition,GEM_Name,Region,Country Code,Coal_Price_Var,NG_Price_Var,GasMinusCoal_Var,BP_Name,Hanson_Name,Reform_Name,R_IndepProducer,R_Private,R_Unbundle,R_WholeSale,R_IndepReg,R_Choice,R_Liberalization,R_Corp,BP_GasReserve_tM3,BP_GasProduction_bM3,BP_CoalProduction_mTon,BP_CoalReserve_mTon,BP_GasR2P_yr,BP_CoalR2P_yr,year,GDPpc_2015$,GDPpc_2017$,Population,WDI_EnergyGDP_kgOilEq/$1k,WDI_Manu_GDP_%,WDI_CoalRents_%,WDI_OilRents_%,WDI_NGRents_%,WDI_Coal_El_%,WDI_NG_El_%,WDI_Fossil_El_%,logGDPpc,LNG_Import_km,LNG_Export_km
24,52.5219,13.3111,Charlottenburg power station,retired,2002,1955,110.0,L400126,1,Germany,Europe & Central Asia,DEU,1.1392950102453343,3.212179,2.072883989754666,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2113664112,17.78678244,208.416,6739.0,11.883341571922886,32.33436972209427,2002.0,34883.0580735445,43417.3079988044,82488495.0,94.6258874222505,19.7899113788146,0.0212106403442727,0.016056222546191,0.033724476268888,9.36689154125584,52.6833735999753,62.7929355241136,10.678613442403956,703.3341270173886,1240.3833549482704
25,32.9250245,-83.7099564,Arkwright power station,retired,2002,1941,181.3,L104678,0,United States,North America,USA,1.1950318362031038,3.3308333333333326,2.135801497130229,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0687386618957495,511.2287640888184,992.7167950700998,246643.0,9.914815084651872,248.4525306964143,2002.0,49095.3317986996,50529.349581757,287625193.0,155.223546593476,13.4528776402421,0.151822005426027,0.172817088546724,0.302755619486716,17.6940238659904,50.657299487706,70.9873760648162,10.830309626280629,896.9664261458703,3703.1559836495035
26,49.4208,11.0077,Franken power station,retired,2002,1966,412.0,L104720,1,Germany,Europe & Central Asia,DEU,1.1392950102453343,3.212179,2.072883989754666,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2113664112,17.78678244,208.416,6739.0,11.883341571922886,32.33436972209427,2002.0,34883.0580735445,43417.3079988044,82488495.0,94.6258874222505,19.7899113788146,0.0212106403442727,0.016056222546191,0.033724476268888,9.36689154125584,52.6833735999753,62.7929355241136,10.678613442403956,592.1215871062684,1562.0926289890156
27,26.440556,90.361944,Bongaigaon power station (Retired),retired,2002,1981,1000.0,L104750,0,India,South Asia,IND,1.1330000599952001,4.273401959263855,3.140401899268655,India,India,India,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7225583750000001,26.5544125,358.107,92445.0,27.210482438653088,258.1491006877833,2002.0,793.100956960312,2699.17810240903,1098313039.0,155.363691803108,15.5587017264204,0.568997608664759,0.898515923740017,0.228575727565643,10.300539555972,69.8934647224743,84.768764066293,7.900702599136179,3037.680481350432,3152.343333959415
28,56.0735,-3.7285,Kincardine power station,retired,2002,1958,760.0,L104707,0,United Kingdom,Europe & Central Asia,GBR,1.1392950102453343,3.212179,2.072883989754666,United Kingdom,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62685,108.48645,29.989155,220.0,5.778140956773865,7.335985292016397,2002.0,40413.9231510367,40070.6511749297,59370479.0,91.9842672717194,12.0799989928788,0.0044113676700899,0.59707481885464,0.206006587502172,39.5938584744992,32.6787919759747,73.520456584199,10.598399454432252,695.783255411894,1068.8823571654134
29,41.835947,-79.18867,Warren Generating power station,retired,2002,1948,84.0,L104699,1,United States,North America,USA,1.1950318362031038,3.3308333333333326,2.135801497130229,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0687386618957495,511.2287640888184,992.7167950700998,246643.0,9.914815084651872,248.4525306964143,2002.0,49095.3317986996,50529.349581757,287625193.0,155.223546593476,13.4528776402421,0.151822005426027,0.172817088546724,0.302755619486716,17.6940238659904,50.657299487706,70.9873760648162,10.830309626280629,450.36836306413267,3462.568237367296
30,54.61794,-5.90616,Belfast West power station,retired,2002,1954,240.0,L104704,0,United Kingdom,Europe & Central Asia,GBR,1.1392950102453343,3.212179,2.072883989754666,United Kingdom,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62685,108.48645,29.989155,220.0,5.778140956773865,7.335985292016397,2002.0,40413.9231510367,40070.6511749297,59370479.0,91.9842672717194,12.0799989928788,0.0044113676700899,0.59707481885464,0.206006587502172,39.5938584744992,32.6787919759747,73.520456584199,10.598399454432252,710.2090370092426,1280.4292950192641
31,55.351496,85.994153,Novo-Kemerovskaya power station,retired,2002,1955,50.0,L103333,0,Russia,Europe & Central Asia,RUS,1.1392950102453343,3.212179,2.072883989754666,Russian Federation,Russia,Russian Federation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.91055283867256,547.5396755162242,258.90771404036064,157010.0,61.932594759825314,606.432298017679,2002.0,5910.171875,16175.09765625,145306497.0,265.110855264434,15.1934447901759,0.332078896134252,10.4623662427989,5.10909236952929,43.2631067611817,19.0385376560757,65.3831276312475,9.691228156831556,3154.4812508894624,4189.619257365733
32,50.0544338,12.193107,Arzberg power station,retired,2003,1979,121.0,L104700,0,Germany,Europe & Central Asia,DEU,1.5693982942903026,4.063158,2.4937597057096967,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1907045532,18.515662452,205.228,6739.0,10.299634360605918,32.8366499697897,2003.0,34619.6640670185,43089.4738197519,82534176.0,94.7912096282739,19.8395709835095,0.0155847293701629,0.0165037382126426,0.0304352574071414,10.5824523734971,52.0842341737864,64.3785733337972,10.67103401934368,647.7903914651071,1500.080437450307
33,52.773737,-1.657641,Drakelow power station,retired,2003,1965,1075.0,L104705,0,United Kingdom,Europe & Central Asia,GBR,1.5693982942903026,4.063158,2.4937597057096967,United Kingdom,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58705,107.80610665456364,28.278729,220.0,5.445424366182219,7.779699009810519,2003.0,41482.4617064963,41130.1136666746,59647577.0,90.7269488345413,11.5429773552702,0.0038233943296288,0.559752287291694,0.193694812254787,37.6471688952724,35.3614994032327,74.1703416745898,10.624495824815948,369.1355555416326,1326.4968498686712
34,22.8347,88.3813,Mulajore power station,retired,2003,1939,150.0,L104752,0,India,South Asia,IND,1.4259393748500115,4.769179073614558,3.3432396987645467,India,India,India,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.821975,28.4268985,375.352,92445.0,28.915395043887745,246.2888168972058,2003.0,840.818039129375,2861.57470800036,1117415123.0,147.491203933308,15.5873866487019,0.573742461427988,0.860363359311968,0.212533349770852,11.1859036901713,67.8314232288576,83.7936380384028,7.959127349493798,3256.200572245942,2967.3246060079123
35,60.43941,22.23785,Linnankatu power station,retired,2003,1960,35.0,L101850,0,Finland,Europe & Central Asia,FIN,1.5693982942903026,4.063158,2.4937597057096967,,Finland,Finland ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,40044.3048555829,42168.6934671901,5213014.0,167.826557267684,21.9474263421835,0.0,0.0,0.0,16.4219813580628,23.6475108507459,41.2186039892797,10.649433363742023,1548.166120240927,780.1721209191178
36,53.22902,-0.792565,High Marnham power station,retired,2003,1959,1000.0,L104722,0,United Kingdom,Europe & Central Asia,GBR,1.5693982942903026,4.063158,2.4937597057096967,United Kingdom,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58705,107.80610665456364,28.278729,220.0,5.445424366182219,7.779699009810519,2003.0,41482.4617064963,41130.1136666746,59647577.0,90.7269488345413,11.5429773552702,0.0038233943296288,0.559752287291694,0.193694812254787,37.6471688952724,35.3614994032327,74.1703416745898,10.624495824815948,343.65233011781913,1257.5426103551317
37,40.4070833,-79.0340083,Seward Power Plant,retired,2003,1950,218.2,L104160,0,United States,North America,USA,1.3867064722322215,5.625,4.2382935277677785,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.125622541265501,517.8558072866915,972.2779237790998,246643.0,9.897779399484248,253.67540902434084,2003.0,50036.2342349321,51497.7346884645,290107933.0,151.351036650739,13.3165117541749,0.154155845833328,0.211788525599514,0.612792290539168,16.5289769841976,51.3811676423779,71.2893520499555,10.84929309905263,318.3264003755401,3552.7804644595585
38,41.52778,-81.64944,Lake Road (OH) power station,retired,2003,1967,85.0,L104688,0,United States,North America,USA,1.3867064722322215,5.625,4.2382935277677785,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.125622541265501,517.8558072866915,972.2779237790998,246643.0,9.897779399484248,253.67540902434084,2003.0,50036.2342349321,51497.7346884645,290107933.0,151.351036650739,13.3165117541749,0.154155845833328,0.211788525599514,0.612792290539168,16.5289769841976,51.3811676423779,71.2893520499555,10.84929309905263,566.9698921614103,3300.234134213809
39,49.303104,12.077386,Schwandorf power station,retired,2003,1972,300.0,L104714,0,Germany,Europe & Central Asia,DEU,1.5693982942903026,4.063158,2.4937597057096967,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1907045532,18.515662452,205.228,6739.0,10.299634360605918,32.8366499697897,2003.0,34619.6640670185,43089.4738197519,82534176.0,94.7912096282739,19.8395709835095,0.0155847293701629,0.0165037382126426,0.0304352574071414,10.5824523734971,52.0842341737864,64.3785733337972,10.67103401934368,606.258512932723,1582.1873734670935
40,58.050903,102.808966,Ust-Ilimskaya CHP power station,retired,2004,1979,50.0,L104443,0,Russia,Europe & Central Asia,RUS,2.596628496135404,4.301853,1.7052245038645966,Russian Federation,Russia,Russian Federation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,33.6360657000295,582.5770648967552,284.6584422498927,157010.0,57.73668022099447,551.57331277098,2004.0,6856.67822265625,18765.51953125,144067316.0,239.465123261869,15.2165071846405,0.763856154475936,11.6957615431619,3.07700843859375,45.4279738252832,17.1927239879343,65.1912829805195,9.839776397370253,2878.85717313538,4684.788250732657
41,43.384722,-87.87,Port Washington power station,retired,2004,1935,320.0,L104693,1,United States,North America,USA,2.336275735441165,5.849166666666666,3.5128909312255012,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.219678869927875,503.1100829265112,1008.8791976853,246643.0,10.374824610085003,244.4722822770853,2004.0,51485.2074124697,52989.0306944184,292805298.0,148.739815368886,13.1741810816537,0.321324626345383,0.283170634743015,0.569511287090411,17.6359183043721,50.3966895527569,71.385701336522,10.87784020308358,1111.1988400888436,2752.1988301170227
42,43.642272,25.305007,Svilosa power station,retired,2004,1971,120.0,L100146,0,Bulgaria,Europe & Central Asia,BGR,2.596628496135404,4.301853,1.7052245038645966,Bulgaria,Bulgaria,Bulgaria,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,26.485011300245382,2187.0,0.0,82.57500724493697,2004.0,4853.94456910486,13701.5176620624,7716860.0,178.133417028108,,0.624654478990527,0.0286550756706803,0.0431724150903471,3.60643074397721,46.1232076473712,51.7138994834162,9.525261883933489,368.5977276141399,2209.2587511331335
43,27.9072,-82.4231,Bayside Gannon power station,retired,2004,1957,1301.88,L104679,1,United States,North America,USA,2.336275735441165,5.849166666666666,3.5128909312255012,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.219678869927875,503.1100829265112,1008.8791976853,246643.0,10.374824610085003,244.4722822770853,2004.0,51485.2074124697,52989.0306944184,292805298.0,148.739815368886,13.1741810816537,0.321324626345383,0.283170634743015,0.569511287090411,17.6359183043721,50.3966895527569,71.385701336522,10.87784020308358,1293.0463684055683,2929.3927470918356
44,43.565,11.4777,Santa Barbara power station,retired,2004,1957,250.0,L400436,1,Italy,Europe & Central Asia,ITA,2.596628496135404,4.301853,1.7052245038645966,Italy,Italy,Italy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1195822476749999,12.435959,0.0,34.0,9.615844477695688,0.0,2004.0,33150.4762169416,44118.0366368665,57685327.0,71.8511720663054,15.8961977361723,0.0001146798785515,0.0463733545125626,0.0245576717192482,43.8749463278078,17.201134638596,80.5826686997299,10.694623971852929,143.79073539466827,1321.0521047088403
45,36.2511,-80.3669,Tobaccoville power station,retired,2004,1985,80.0,L104698,0,United States,North America,USA,2.336275735441165,5.849166666666666,3.5128909312255012,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.219678869927875,503.1100829265112,1008.8791976853,246643.0,10.374824610085003,244.4722822770853,2004.0,51485.2074124697,52989.0306944184,292805298.0,148.739815368886,13.1741810816537,0.321324626345383,0.283170634743015,0.569511287090411,17.6359183043721,50.3966895527569,71.385701336522,10.87784020308358,423.6289999728312,3456.7760419170086
