"","Country.Code","year","Coal_AnnualMtCO2","Coal_duration_year","Coal_Share_Ret","Coal_Share_EarlyRet","Coal_Share_Tran","Coal_Share_PhasedOut","Coal_logCurrent_MW","Gas_Current_MW","Gas_duration_year","Gas_logCurrent_MW","Coal_Gen_Decline_Perc","Gas_Gen_Decline_Perc","Share_VRE_Gen","GDPpc_2015.","Population","WDI_Manu_GDP_.","WDI_CoalRents_.","WDI_OilRents_.","WDI_NGRents_.","WDI_NG_El_.","WDI_Coal_El_.","logGDPpc","BP_GasReserve_tM3","BP_GasProduction_bM3","BP_CoalProduction_mTon","BP_CoalReserve_mTon","BP_CoalR2P_yr","LogBP_GasR2P_yr","HHI_Gas_Import","contiguity_Gas_Import","agree_Gas_Import","sanction_Gas_Import","common_language_Gas_Import","colony_Gas_Import","HHI_Gas_Export","contiguity_Gas_Export","agree_Gas_Export","sanction_Gas_Export","common_language_Gas_Export","colony_Gas_Export","NetValue_Gas_Import","NetQuantity_Gas_Import","HHI_Coal_Import","contiguity_Coal_Import","agree_Coal_Import","sanction_Coal_Import","common_language_Coal_Import","colony_Coal_Import","HHI_Coal_Export","contiguity_Coal_Export","agree_Coal_Export","sanction_Coal_Export","common_language_Coal_Export","colony_Coal_Export","NetValue_Coal_Import","NetQuantity_Coal_Import","R_IndepProducer","R_Private","R_Unbundle","R_WholeSale","R_IndepReg","R_Choice","R_Liberalization","R_Corp","StateCapacity","num_supply_policy","binary_airqual","ghg_ambition_n","cw_2030","annex_one","annex_two"
"NGA-2020","NGA",2020,0,0,0,0,0,0,0,10818,40,9.28896669243137,0,0,0.0013454423141607,2401.18390022989,208327405,12.6672651648325,0.0002399117758831,3.31241719212516,0.66919749440088,71.85609,1.9166106,8.48983984279979,5.47297945,49.4311393014,7.59824567231493,190,35.0499802256482,4.70699786050321,1,0,1,0,1,0,0.183257048582055,2.08924900205635e-09,0.596104931896021,0,0.474741431872186,0.0020047200213784,-4962603.088,-162737900.312,0.981552038718668,0.0002070763663083,0.0002070763663083,0,0.999689385450538,5.17690915770769e-05,0.994312892876815,0.997148327687707,0.997152991773968,0,0.997150493156328,0,5601.268,65259.542,1,1,1,1,1,1,1,1,-0.450227110570034,8,0,1,1,0,0
"NGA-2021","NGA",2021,0,0,0,0,0,0,0,11108,41,9.31542084842669,0,0,0.0015893197711379,2429.58578108445,213401323,14.6107029722012,0.0004784316388258,6.24674969005013,1.16400248668311,72.25929,1.938354,8.50159871767517,0.654245491046371,45.9133236649852,7.50907984108714,190,41.0951001385745,0,0.991668554917505,0,0.0041811846689895,0,0.0036236933797909,0,0.120367250919287,3.55766613420437e-06,0.737480989029318,0.0007645837999741,0.281749836320465,0.0044401008809622,-6959134.714,-13628280.603,0.993872604228401,0,0.997127986413277,0,0.0023940386597241,0.0001683980589643,0.998251153565758,0.99912497550892,0.99912497550892,0,0.999727034638324,0,10118.252,6738.006,1,1,1,1,1,1,1,1,0.378907163520745,8,0,1,1,0,0
"NGA-2022","NGA",2022,0,0,0,0,0,0,0,11108,42,9.31542084842669,0,0,0.0015576323987538,29741.6756622503,67513719.3335414,11.1959005106662,0.559634848452968,8.29976982136998,4.37576503439918,72.4912483759012,11.2017745864332,10.4125028668719,2.18697367325844,13.9112266176805,1.94596297432745,1.67506399127729,1.24252210815975,1.3787998909724,0.238710818091485,0.899383956142965,1,6.93889390390723e-18,0.886529205590696,1.38777878078145e-17,0.186061840916992,0.378615506048002,0.929719166707033,0.103065181750966,0.547083095530526,0.0214400491325737,-9993920.88819534,-56814092.8746594,0.70540494153074,0.491790980403232,0.719453334276686,0.0016941351572253,1,0.0491146451234734,0.653358602753263,0.623287828275548,1,0.0372690855134879,1,0.023080158760236,-1817183.13924984,-37552138.1019984,1,1,1,1,1,1,1,1,0.964614230450497,8,0,1,1,0,0
"NLD-1995","NLD",1995,21.1,14,0,0,0,0,8.37031599555548,2975,16,7.99799931797973,0,0,0.0039564787339268,33696.7438281983,15459006,15.3477349209673,0,0.033702618174493,0.405396325147202,51.7587196767159,36.9879384478914,10.5840087807167,1.72533376,70.7833333333333,7.27794030870778,595.027391816497,123.665283990963,3.19355222671663,0.60569673645616,5.46289562260772e-06,0.98610448223263,0,5.46289562260772e-06,0,0.434928527848586,0.757641017006813,1,0,0.133198930480532,0,-3448795.661,-27226363.533,0.161532003317606,0.0242561543921148,0.257923111592501,0.035492023228248,0.0890263224929491,0,0.506255280253575,0.765453618075792,0.977426358086797,0,0.0682047523146611,0,669961.682,15120471.194,1,0,0,0,0,0,0,0,2.342,0,0,0,0,1,1
"NLD-1996","NLD",1996,21.1,15,0,0,0,0,8.37031599555548,3915,17,8.2725706084249,0,0,0.0051643192488262,34715.1616306125,15530498,14.6858179180268,0,0.0387344513492524,0.443242674406277,55.1081090572797,33.30835957529,10.6137840964598,1.7058884,80.1083333333333,21.2912454738028,1508.23944923249,80.8755155464369,3.05846142444993,0.68698119516488,7.66572265407722e-08,0.999865030268336,0,7.66572265407722e-08,0,0.433860957551628,0.758222439372355,0.999999711475109,4.17648330730566e-05,0.134568865108172,0,-4063478.041,-31940883.329,0.246162520693475,0.0269115584773388,0.175822723141275,0,0.0871139794220193,0,0.313211437789713,0.672301235881916,0.992439509336488,0.137766250388008,0.163224769518257,0,806928.575,12402008.702,1,0,0,0,0,0,0,0,2.373,0,0,0,0,1,1
"NLD-1997","NLD",1997,21.1,16,0,0,0,0,8.37031599555548,4389,18,8.38685668968823,0,0,0.0054473806212331,36032.0402458477,15610650,14.2302043647675,0,0.0304655261421261,0.459155377773329,58.5520613016192,31.623961258856,10.6510161197993,1.72091436,70.95,12.6938445412042,925.544226789572,102.384897481926,3.18863562960092,0.708427745681235,1.85286586975639e-07,1,0,1.85286586975639e-07,0,0.403348030219867,0.724664531367907,1,0,0.131325291773022,0,-3383991.124,-25639725.03,0.209381892116645,0.0245597662982018,0.30032293948671,1.49516051978809e-05,0.21152263930578,0,0.395479607740437,0.745082208500936,0.981566849662067,0.0615448265903824,0.141924632828098,0,794746.088,11467888.852,1,0,0,0,0,0,0,0,2.348,1,0,0,0,1,1
"NLD-1998","NLD",1998,21.1,17,0,0,0,0,8.37031599555548,4878,19,8.49249057877587,0,0,0.0070422535211267,37480.7094477732,15707209,14.1668040426584,0,0.0074630304410427,0.0544001863523158,56.0445590736981,32.4600779235033,10.690433956229,1.67318484,67.6777777777778,7.70351827526754,55.7331654198611,10.6770395398727,3.20772629853787,0.743146455674585,3.09179476831224e-06,1,0,0,0,0.403217534697839,0.51363511381188,0.998640182178352,3.90534647978559e-07,0.51363511381188,0,-2732122.486,2290958.732,0.203503084773911,0.0137651283123806,0.345120350944021,0,0.154327861393093,0,0.589743580902284,0.822935664325308,0.997170765164296,0.0436132017614003,0.0619462772475256,0,781419.62,14262323.158,1,0,0,0,1,0,1,1,2.351,2,0,0,0,1,1
"NLD-1999","NLD",1999,21.1,18,0,0,0,0,8.37031599555548,5526,20,8.61721950548336,0,0,0.007511845602681,39106.3881617199,15812088,13.633513644957,0,0.0203269079678711,0.0483883755868226,58.9886992619926,28.9068265682657,10.7328934040767,1.62280368,62.9333333333333,5.10652517357152,497,134.224099741812,3.24983463397191,0.659840433763928,0,1,0,0,0,0.407574698182897,0.263467491155773,0.999999904149013,0.0030766687234251,0.263467491155773,0,-2168594.622,3743830.761,0.249748609892146,0.0089146845607421,0.254720976153704,0,0.0850060372747482,0,0.656307651795104,0.846552534880478,0.999148368652357,0.0521969458026762,0.0407387674819506,0,510876.839,16197789.999,1,0,1,1,1,1,1,1,2.206,2,0,0,0,1,1
"NLD-2000","NLD",2000,21.1,19,0,0,0,0,8.37031599555548,5526,21,8.61721950548336,0,0,0.009397024275646,40456.9422374474,15925513,13.3531117880918,0,0.0428661703754643,0.343533262762868,57.4823442782073,30.2506945141748,10.7668458242671,1.57065476,61.3611111111111,15.4295296408124,497,40.6327490795304,3.24247159102541,0.70315553214097,0,0.999999940172194,0,2.15772414792462e-09,0,0.324705134919184,0.668139949335468,1,0,0.164556461850097,0,-3353054.823,-27783626.916,0.275296154718627,0.0088784215244721,0.689939229303009,0.0192021397519567,0.105459229728586,0,0.749856246653387,0.886040087818936,0.99994620112688,0,0.0221023990699919,0,551016.577,20232030.547,1,0,1,1,1,1,1,1,2.341,2,0,0,0,1,1
"NLD-2001","NLD",2001,21.1,20,0,0,0,0,8.37031599555548,5526,22,8.61721950548336,0,0,0.0089906882157764,41087.042173269,16046180,13.1231569619885,0,0.0288835905371522,0.747341370036793,57.4090088935866,30.4506582108196,10.7823003665381,1.53618344,64.6472222222222,6.86706027162911,497,96.7435739467039,3.1681111957656,0.297812903714891,0.380111849862245,0.999999998734516,0,0.0839011346326382,0,0.430153708543814,0.53778221821074,1,0,0.53778221821074,0,-468302.219,-3120228.592,0.244044261901237,0.0064585568110679,0.784558885693151,0.0151063423622677,0.118223898154642,0,0.692193568013819,0.880795955206611,0.99672228676768,0,0.0527654650669574,0,734099.691,20017362.563,1,0,1,1,1,1,1,1,2.353,2,0,0,0,1,1
"NLD-2002","NLD",2002,21.1,21,0,0,0,0,8.37031599555548,5526,23,8.61721950548336,0,0,0.010130548302872,40914.3255026768,16148929,12.5422788578772,0,0.0447970205533278,0.505350536423084,57.5947322907659,30.2018107750492,10.7780878288476,1.49287332,63.5194444444444,8.33212304432356,497,74.7800174030052,3.15711187389363,0.300786145265236,0.344383684009399,0.999999993459558,0,0.059769289192527,0,0.373585568205991,0.489014151728471,0.99999999733603,0,0.489014151728471,0,-357820.48,-2838455.786,0.28496548999183,0.0140638065427327,0.775714287947484,0.0293207147480423,0.0867934926879429,0,0.588913425067622,0.844552058107864,0.997723610937333,0.0022424313995793,0.0861737951236381,0,783892.789,25039160.746,1,0,1,1,1,1,1,1,2.347,2,0,0,0,1,1
"NLD-2003","NLD",2003,21.1,22,0,0,0,0,8.37031599555548,5596,24,8.62980733578537,0,0,0.013975155279503,40785.1222216206,16225302,12.1770246290049,0,0.0444408788956073,0.430352698895937,56.8282757338511,30.7194943089095,10.774924933813,1.4274662,60.7166666666667,9.17848036092956,497,78.1816244522768,3.15743802870506,0.353111633492432,0.376518015492511,1,0,0.0776550478755656,0,0.490245097925786,0.605885947194505,0.999999932202953,0,0.605885947194505,0,-326797.449,-769359.254999999,0.267094805739656,0.0125666631996209,0.851602093577805,0.0207326336244448,0.085153560145038,0,0.45180027251679,0.670962267135522,0.996035803297582,0,0.0291125440113033,0,1090098.295,39278282.589,1,0,1,1,1,1,1,1,2.358,2,0,0,0,1,1
"NLD-2004","NLD",2004,21.1,23,0,0,0,0,8.37031599555548,6406,25,8.7649903301691,0,0,0.0188100188100187,41450.4042697266,16281779,12.2665250922941,0,0.0482013400128872,0.395244249969581,59.2674926393582,27.7975378900152,10.7911052050591,1.38945936,71.6166666666667,6.22550295755684,497,123.725061021482,2.96534217927102,0.409352028977248,0.632467690269175,1,0,0.109090166064188,0,0.921095179997997,0.959092707871735,1,0,0.959092707871735,0,-507534.875000001,-1465520.328,0.255954987978054,0.0179668683963981,0.994410597586756,0.0223651547329785,0.0409327843154038,0,0.488590666267953,0.706659677434592,0.995176821884937,0,0.0330954955285316,0,1192558.968,34355133.434,1,0,1,1,1,1,1,1,2.358,4,0,0,0,1,1
"NLD-2005","NLD",2005,21.1,24,0,0,0,0,8.37031599555548,6444,26,8.77090474429687,0,0,0.0211677367576243,42201.7754133082,16319868,12.3018862444475,0,0.0486888872963133,0.294878106120457,57.6445391859569,26.9492899390519,10.8090698618977,1.3346588,65.3333333333333,9.81855152442055,497,67.9961802149243,3.01692858708133,0.317345622000258,0.618445653568871,0.999991250799735,0,0.140351437400269,0,0.945894774318524,0.97218357573701,0.999999999592185,0,0.97218357573701,0,-600622.952999998,-3006962.718,0.263500045797306,0.0110432117121847,0.941950734524925,0,0.061772932315764,0,0.492978305160427,0.689269798167472,0.999305872574136,9.10610663970075e-07,0.005772570400655,0,1937672.593,33904974.299,1,0,1,1,1,1,1,1,2.399,4,0,0,0,1,1
"NLD-2006","NLD",2006,21.1,25,0,0,0,0,8.37031599555548,6444,27,8.77090474429687,0,0,0.0280676866957137,43592.3027449221,16346101,11.9289157739511,0,0.0474303353534585,0.607059769493383,57.8167211356531,26.8210010826343,10.8414881625572,1.27190332,64.5027777777778,14.488742497442,497,47.2594559398731,2.9815614455256,0.425480637441402,0.763679458830722,0.999999998230405,0,0.151526210386794,0,0.955545112171601,0.977257292850586,1,1.39873632173027e-07,0.977257292850586,0,1796265.776,8447669.349,0.201791890781572,0.0101564833419419,0.845366464504992,0,0.119723011801898,0,0.606837072190466,0.769069037789411,0.983624917219676,0.0019864226657613,0.0026252650807123,0,2112926.613,40993759.596,1,0,1,1,1,1,1,1,2.414,4,1,0,0,1,1
"NLD-2007","NLD",2007,21.1,26,0,0,0,0,8.37031599555548,6548,28,8.78691493849102,0,0,0.033142857142857,45138.678436798,16381696,12.004780593375,0,0.0695823476637214,0.52120335320914,58.0135976798365,27.0679408548471,10.8763470643089,1.2285932,62.0027777777778,8.7785620530324,497,77.6607996164864,2.98644586705065,0.369904285872528,0.360700196994308,0.999969949172266,0,0.360700196994308,0,0.951121874110354,0.974996627363161,0.99999793591747,0,0.974996627363161,0,-2948052.032,-14340301.915,0.221021298922194,0.0103985093220496,0.894479947392837,0.0180982788156091,0.031802441461074,0,0.687020356727897,0.827821336198683,0.994171995066556,9.73225878115465e-07,0.0036631182411601,0,2402862.276,45190341.758,1,0,1,1,1,1,1,1,2.424,4,1,0,0,1,1
"NLD-2008","NLD",2008,21.1,27,0,0,0,0,8.37031599555548,6856,29,8.83287946027762,0,0,0.0400372439478584,45939.1481987846,16445593,11.4583172383104,0,0.0767004716623707,0.963753121969128,58.9101085986314,24.9311960725974,10.8939252258219,1.1888186,70.9083333333333,6.15735752738209,497,117.415441233768,2.8193273568032,0.381406675479038,0.489304709646575,0.999834816031378,0,0.489304709646575,0,0.94755475528917,0.973135647265796,1,0,0.973135647265796,0,-4127680.544,-9739673.425,0.173222025286833,0.0138593113808086,0.787503299201474,0.0362206806537806,0.0841011076066425,0,0.401622929383933,0.614703195530888,0.987692896281587,3.96722378782249e-06,0.0142180511167459,0,4045792.391,45780818.787,1,0,1,1,1,1,1,1,2.413,4,1,0,0,1,1
"NLD-2009","NLD",2009,21.1,28,0,0,0,0,8.37031599555548,6856,30,8.83287946027762,0,0,0.0406833392039449,44027.6025577706,16530388,10.5034552734931,0,0.0342324179411298,0.686149183988494,60.5782339851,23.4029078818904,10.8514243384222,1.2285932,65.5,5.74320625365973,497,130.426328706887,2.9315749113183,0.55939612164421,0.152039426872657,1,0,0.152039426872657,0,0.64959349814733,0.785607999980917,0.999999999809662,0,0.785607999980917,0,-1869681.184,-620654.49,0.224274783617068,0.0138236781951488,0.549921123729759,0,0.0752084378054604,0,0.350537546919293,0.58069417944618,0.946856375499159,1.42312406563028e-05,0.0250592328704478,0,4097070.982,48306948.078,1,0,1,1,1,1,1,1,2.405,5,1,0,0,1,1
"NLD-2010","NLD",2010,21.1,29,0,0,0,0,8.37031599555548,9160,31,9.12260145766818,0,0,0.0340021828561833,44390.5044098134,16615394,10.4692367022483,0,0.0313299442533534,0.728762153920343,63.1617338811101,21.6315921857969,10.8596331522573,1.15257952,75.2666666666667,7.33606557765143,497,105.240407008479,2.72872040727391,0.48446092940066,0.248435969000328,0.998800642531106,0,0.248435969000328,0,0.450738966830789,0.619924972177286,0.999990272730301,0,0.619924972326352,0,-2268702.643,-1521636.657,0.244360789505794,0.0057911714747092,0.134346306478491,0,0.0566722307340945,0,0.468812806185489,0.692266868381823,0.987195766619792,0,0.0307946484549919,0,3791966.826,46609080.878,1,0,1,1,1,1,1,1,2.403,5,1,0,0,1,1
