Year,AR6_R10,GW,aged,GW_new,MWh/yr,MtCO2/yr,Type
2025,R10REST_ASIA,161.95499999999998,0.8868,162.84179999999998,499272958.7999999,329.02087984919996,Current_high
2026,R10AFRICA,109.04899999999999,1.1332,110.1822,337818625.2,222.6224740068,Current_high
2026,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_high
2026,R10EUROPE,211.501,5.4744,216.9754,665246576.3999999,438.3974938475999,Current_high
2026,R10INDIA+,54.78,0.2696,55.0496,168782073.59999996,111.22738650239998,Current_high
2026,R10LATIN_AM,104.385,4.4648,108.8498,333733486.8,219.93036780120002,Current_high
2026,R10MIDDLE_EAST,262.188,7.7616,269.9496,827665473.5999999,545.4315471023999,Current_high
2026,R10NORTH_AM,480.724,32.4664,513.1904,1573441766.3999996,1036.8981240575997,Current_high
2026,R10PAC_OECD,83.69200000000001,4.7564,88.4484,271182794.40000004,178.70946150960003,Current_high
2026,R10REF_ECON,87.072,27.589999999999996,114.662,351553692.0,231.673883028,Current_high
2026,R10REST_ASIA,161.95499999999998,0.5912,162.54619999999997,498366649.1999998,328.4236218227999,Current_high
2027,R10AFRICA,109.04899999999999,0.5666,109.61559999999999,336081429.59999996,221.47766210639998,Current_high
2027,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_high
2027,R10EUROPE,211.501,2.7372,214.2382,656854321.2,432.86699767080006,Current_high
2027,R10INDIA+,54.78,0.1348,54.9148,168368776.79999995,110.95502391119997,Current_high
2027,R10LATIN_AM,104.385,2.2324,106.6174,326888948.4,215.41981699559997,Current_high
2027,R10MIDDLE_EAST,262.188,3.8808,266.0688,815766940.8,537.5904139871999,Current_high
2027,R10NORTH_AM,480.724,16.2332,496.9572,1523670775.1999998,1004.0990408567999,Current_high
2027,R10PAC_OECD,83.69200000000001,2.3782,86.07020000000001,263891233.20000002,173.9043226788,Current_high
2027,R10REF_ECON,87.072,13.794999999999998,100.867,309258222.0,203.801168298,Current_high
2027,R10REST_ASIA,161.95499999999998,0.2956,162.2506,497460339.6,327.8263637964,Current_high
