Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2043,R10EUROPE,31.656,97057295.99999997,63.96075806399999,Const_low
2043,R10INDIA+,26.059,79896894.00000001,52.65205314600001,Const_low
2043,R10LATIN_AM,50.287,154179942.0,101.604581778,Const_low
2043,R10MIDDLE_EAST,157.03388,481465876.08,317.28601233672,Const_low
2043,R10NORTH_AM,122.978,377050548.0,248.47631113199998,Const_low
2043,R10PAC_OECD,22.114,67801524.0,44.681204316,Const_low
2043,R10REF_ECON,36.508,111933528.0,73.764194952,Const_low
2043,R10REST_ASIA,87.455,268137029.99999997,176.70230276999996,Const_low
2044,R10AFRICA,59.333,181914977.99999997,119.88197050199999,Const_low
2044,R10CHINA+,95.423,292566918.0,192.80159896199996,Const_low
2044,R10EUROPE,28.924,88680983.99999999,58.440768455999994,Const_low
2044,R10INDIA+,20.962,64269492.00000001,42.35359522800001,Const_low
2044,R10LATIN_AM,46.179,141584814.0,93.30439242600002,Const_low
2044,R10MIDDLE_EAST,142.72988,437609812.0799999,288.38486616072,Const_low
2044,R10NORTH_AM,111.795,342763470.0,225.88112673,Const_low
2044,R10PAC_OECD,15.389,47182673.999999985,31.093382165999987,Const_low
2044,R10REF_ECON,30.058,92157828.0,60.73200865199999,Const_low
2044,R10REST_ASIA,73.793,226249338.00000003,149.09831374200002,Const_low
2045,R10AFRICA,50.79,155722140.0,102.62089025999998,Const_low
2045,R10CHINA+,86.652,265675031.99999997,175.07984608799998,Const_low
2045,R10EUROPE,27.164,83284824.0,54.884699016,Const_low
2045,R10INDIA+,17.205000000000002,52750530.0,34.76259927,Const_low
2045,R10LATIN_AM,43.043,131969837.99999999,86.96812324199999,Const_low
2045,R10MIDDLE_EAST,134.08988,411119572.08,270.92779800072003,Const_low
2045,R10NORTH_AM,99.363,304646958.0,200.762345322,Const_low
2045,R10PAC_OECD,13.517000000000001,41443122.0,27.311017398,Const_low
2045,R10REF_ECON,26.802,82174931.99999999,54.153280188,Const_low
2045,R10REST_ASIA,68.263,209294357.99999997,137.92498192199997,Const_low
2046,R10AFRICA,47.862,146744892.0,96.70488382799998,Const_low
2046,R10CHINA+,83.958,257415228.0,169.636635252,Const_low
2046,R10EUROPE,22.526,69064715.99999999,45.51364784399999,Const_low
2046,R10INDIA+,15.261,46790226.0,30.834758934,Const_low
2046,R10LATIN_AM,38.332,117525912.0,77.44957600800001,Const_low
2046,R10MIDDLE_EAST,121.77387999999999,373358716.08000004,246.04339389672,Const_low
