Country Code,year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,rate_coal_gen_5y,rate_coal_share_5y,rate_coal_cap_5y,rate_gas_gen_5y,rate_gas_share_5y,Share_VRE_Gen
COL,1990.0,808.0,4.6000000000000005,808.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,6.694562058521095,311.0,17.0,311.0,0.0,0.0,0.0,0.0,0.0,5.739792912179234,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,1990.0,1709.0,10.3,1709.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.443663683115591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4827707454289732,0.1571729957805907,0.300632911392405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,1990.0,72260.5,414.3,72260.5,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,11.188032924135207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2195750160978747e-06,3.25209594333548e-06,0.0,0.0044607211848036,0.7103203477141017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.471670959433354e-06
PRT,1990.0,1346.0,7.5,1346.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,7.204892510204673,43.0,9.0,43.0,0.0,0.0,0.0,0.0,0.0,3.7612001156935615,0.0,0.0,0.0,0.0,0.3198023296858454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,1990.0,909.0,5.3,909.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.812345094177479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,1990.0,17061.2,92.9,17061.2,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,9.744562158548485,2759.0,31.0,2759.0,0.0,0.0,0.0,0.0,0.0,7.922623574217286,0.0,3.993381263402316e-06,0.150771994853111,0.0200876737277385,0.1710802293240793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993381263402316e-06
BGR,1990.0,5453.0,33.3,5453.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,8.60392119492606,1107.0,28.0,1107.0,0.0,0.0,0.0,0.0,0.0,7.009408932708637,0.0,0.0,0.3498806682577566,0.0761336515513126,0.5007159904534606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1990.0,940.0,5.6000000000000005,940.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,6.84587987526405,63.0,14.0,63.0,0.0,0.0,0.0,0.0,0.0,4.143134726391533,0.0,0.0,0.010039488805566,0.0014613223196057,0.0207366426665887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,1990.0,3173.2,18.3,3173.2,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,8.062495821427849,491.0,19.0,491.0,0.0,0.0,0.0,0.0,0.0,6.19644412779452,0.0,0.0,0.3533737819452105,0.0856775142489428,0.1776061776061776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,1990.0,1801.0,9.8,1801.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,15.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,0.0,0.1565922920892495,0.1255578093306288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,1990.0,2865.0,16.6,2865.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,7.960323629148839,90.0,12.0,90.0,0.0,0.0,0.0,0.0,0.0,4.499809670330265,0.0,0.0001422677479015,0.6077678190354247,0.0769668516147389,0.2431355811637501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001422677479015
KAZ,1990.0,11144.0,59.5,11144.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,9.318656515459642,2435.0,23.0,2435.0,0.0,0.0,0.0,0.0,0.0,7.79770203551669,0.0,0.0,0.0,0.1045789033978415,0.7112006317307361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,1990.0,497.0,2.7,497.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.208590026096629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,1990.0,800.0,5.0,800.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.684611727667927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8973913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,1990.0,1000.0,5.9,1000.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.907755278982137,500.0,5.0,500.0,0.0,0.0,0.0,0.0,0.0,6.214608098422191,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,1990.0,2980.0,14.9,2980.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.99967857949945,1032.0,11.0,1032.0,0.0,0.0,0.0,0.0,0.0,6.939253946041508,0.0,0.0008356545961002,0.0487465181058495,0.508774373259053,0.3483286908077995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008356545961002
MAR,1990.0,465.0,2.7,465.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.142037405587356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,1990.0,1200.0,6.4,1200.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.090076835776092,6816.0,27.0,6816.0,0.0,0.0,0.0,0.0,0.0,8.827028068509152,8.504012767244447e-06,8.504012767244447e-06,0.0249762854973969,0.112325006019778,0.0663219961945393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7008025534488895e-05
MYS,1990.0,600.0,3.2,600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.396929655216146,668.0,18.0,668.0,0.0,0.0,0.0,0.0,0.0,6.504288173536645,0.0,0.0,0.0,0.240702120264164,0.1273896419881821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1990.0,23522.0,127.7,23522.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,10.065691432410985,2581.0,23.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,0.0807273848644585,0.7925488344303212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,1990.0,14037.5,75.5,14037.5,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,9.5494875990467,23210.0,26.0,23210.0,0.0,0.0,0.0,0.0,0.0,10.052338499268483,1.1344299489506525e-06,0.0,0.2207274758933635,0.1961773227453204,0.1353198411798071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1344299489506525e-06
FRA,1990.0,8526.0,47.6,8526.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,9.050875597325156,78.0,21.0,78.0,0.0,0.0,0.0,0.0,0.0,4.356708826689592,0.0,0.0,0.7528283796740173,0.0072627037392138,0.0754314477468839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,1990.0,2075.0,10.9,2075.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.637716432664798,1352.0,32.0,1352.0,0.0,0.0,0.0,0.0,0.0,7.20934025660291,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
