Region,year,Model,Scenario,Category,growth_rate
R10INDIA+,2028,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.09202640238712068
R10INDIA+,2029,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.09109867890585455
R10INDIA+,2030,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.09030496456024983
R10INDIA+,2031,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.08407340130737606
R10INDIA+,2032,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.07884055578717541
R10INDIA+,2033,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.07438297214284462
R10INDIA+,2034,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.07053950198219505
R10INDIA+,2035,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06719092832184059
R10INDIA+,2036,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06615131140499009
R10INDIA+,2037,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06524689982936493
R10INDIA+,2038,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06445292170244654
R10INDIA+,2039,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06375030964908279
R10INDIA+,2040,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.06312414782126474
R10INDIA+,2041,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.05687257409167712
R10INDIA+,2042,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.05128026204970326
R10INDIA+,2043,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.04624652727584744
R10INDIA+,2044,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.041690456560178335
R10INDIA+,2045,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.03754623131845669
R10INDIA+,2046,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.031014397675695804
R10INDIA+,2047,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.024820680133507134
R10INDIA+,2048,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.018936986081172558
R10INDIA+,2049,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.01333843173503979
R10INDIA+,2050,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.008002880097755849
R10NORTH_AM,2025,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.05777600873176547
R10NORTH_AM,2026,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.0658467828497119
R10NORTH_AM,2027,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.07518546201756371
R10NORTH_AM,2028,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.08613087487266535
R10NORTH_AM,2029,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.0991613532682426
R10NORTH_AM,2030,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.11497955204264987
R10NORTH_AM,2031,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.12851333953022115
R10NORTH_AM,2032,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.14630939422649936
R10NORTH_AM,2033,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.1709145929035315
R10NORTH_AM,2034,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.2076655779066373
R10NORTH_AM,2035,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.2708771175171856
R10NORTH_AM,2036,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.27801088806154717
R10NORTH_AM,2037,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.2890026916583879
R10NORTH_AM,2038,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.3082271111339254
R10NORTH_AM,2039,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.35127388866026465
R10NORTH_AM,2040,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6638781364426288
R10NORTH_AM,2041,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6529126362858286
R10NORTH_AM,2042,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6372780167016097
R10NORTH_AM,2043,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6123987565610512
R10NORTH_AM,2044,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.5623651545707269
R10NORTH_AM,2045,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06845334427750738
R10NORTH_AM,2046,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06850848165915469
R10NORTH_AM,2047,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06857111113020897
R10NORTH_AM,2048,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06864287104699673
R10NORTH_AM,2049,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06872591502275016
R10NORTH_AM,2050,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06882313177126775
R10CHINA+,2025,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.08046443762551414
R10CHINA+,2026,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.06657235604300138
R10CHINA+,2027,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.05430098128643257
R10CHINA+,2028,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.04336562647624387
R10CHINA+,2029,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.03354716194778118
R10CHINA+,2030,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.024673692327960683
R10CHINA+,2031,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.025625893396906907
R10CHINA+,2032,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.0265278949554828
R10CHINA+,2033,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.027383572528018263
R10CHINA+,2034,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.028196411967605473
R10CHINA+,2035,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.02896955731825246
R10CHINA+,2036,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.028269632620027796
R10CHINA+,2037,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.027608445874816923
R10CHINA+,2038,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.026982864675388685
R10CHINA+,2039,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.026390085769347316
R10CHINA+,2040,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.025827592895498963
R10CHINA+,2041,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.019112238117316327
R10CHINA+,2042,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.012575501046443227
R10CHINA+,2043,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.006207225409848416
R10CHINA+,2044,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-1.946830877841421e-06
R10CHINA+,2045,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.006060656473682924
R10CHINA+,2046,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.010966743675081214
R10CHINA+,2047,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.016033449869606864
R10CHINA+,2048,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.021270480581980222
R10CHINA+,2049,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.026688455857769577
R10CHINA+,2050,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.03229903109517074
R10EUROPE,2025,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06506997601841491
R10EUROPE,2026,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.0729033001911934
R10EUROPE,2027,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.08207772904703026
R10EUROPE,2028,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.0929842870774682
R10EUROPE,2029,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.10619012411920814
R10EUROPE,2030,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.12255636022930672
R10EUROPE,2031,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.13279469013895062
R10EUROPE,2032,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.14617446739347506
R10EUROPE,2033,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.16446926417118202
R10EUROPE,2034,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.19119403023059522
R10EUROPE,2035,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.23472054896936256
R10EUROPE,2036,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.2441635870050708
R10EUROPE,2037,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.25842512663284445
R10EUROPE,2038,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.28261618181603587
R10EUROPE,2039,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.33395686452041684
R10EUROPE,2040,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6416183958617889
R10EUROPE,2041,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6310794670500199
R10EUROPE,2042,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6158630730769881
R10EUROPE,2043,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.5913017729291309
R10EUROPE,2044,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.541136991896407
R10EUROPE,2045,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.08809335138129115
R10EUROPE,2046,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.09297271327898426
R10EUROPE,2047,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.09883528777128148
R10EUROPE,2048,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.10601566401800422
R10EUROPE,2049,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.11502241991616702
R10EUROPE,2050,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.12667087175089387
