Region,Model,Scenario,Category,L,x0,k,start_year,rate,rate_percent,duration,rate_Cherp
R10INDIA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,277.5082072340665,2033.6327476710205,0.42174585574178947,2025.0,-29.259484083825306,-21.087292787089474,8.632747671020525,-8.39126756251014
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,337.40753039942274,2021.6974576411715,0.32943482124627144,2005.0,-27.78844736606993,-16.471741062313573,16.697457641171468,-6.740567542429793
R10CHINA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10EUROPE,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10INDIA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,337.40753039942274,2021.6974576411715,0.32943482124627144,2005.0,-27.78844736606993,-16.471741062313573,16.697457641171468,-6.740567542429793
R10CHINA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,741.5073380813167,2026.851994207864,0.26904634760923635,2020.0,-49.874960259056365,-13.452317380461817,6.8519942078639815,-6.117855012292212
R10EUROPE,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10INDIA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,337.40753039942274,2021.6974576411715,0.32943482124627144,2005.0,-27.78844736606993,-16.471741062313573,16.697457641171468,-6.740567542429793
R10CHINA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,741.5073380813167,2026.851994207864,0.26904634760923635,2020.0,-49.874960259056365,-13.452317380461817,6.8519942078639815,-6.117855012292212
R10EUROPE,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,143.62479756256505,2021.4900604523737,0.28487767878621667,2005.0,-10.22887473644095,-14.243883939310834,16.490060452373655,-3.1330116362311315
R10INDIA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,337.40753039942274,2021.6974576411715,0.32943482124627144,2005.0,-27.78844736606993,-16.471741062313573,16.697457641171468,-6.740567542429793
R10CHINA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,741.5073380813167,2026.851994207864,0.26904634760923635,2020.0,-49.874960259056365,-13.452317380461817,6.8519942078639815,-6.117855012292212
R10EUROPE,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,143.62479756256505,2021.4900604523737,0.28487767878621667,2005.0,-10.22887473644095,-14.243883939310834,16.490060452373655,-3.1330116362311315
R10INDIA+,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,227.34598512032795,2028.1581456013828,0.29681392597284934,2020.0,-16.86986359943238,-14.840696298642467,8.158145601382785,-8.146116613259274
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,335.776100759017,2022.022396111217,0.336109351597915,2005.0,-28.214371877047345,-16.80546757989575,17.02239611121695,-6.767713582501491
R10CHINA+,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,,,,,,,,
R10EUROPE,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,,,,,,,,
R10INDIA+,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,335.776100759017,2022.022396111217,0.336109351597915,2005.0,-28.214371877047345,-16.80546757989575,17.02239611121695,-6.767713582501491
R10CHINA+,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,720.3252380023085,2027.38834220034,0.2795274734536795,2020.0,-50.33767346092642,-13.976373672683975,7.388342200340048,-6.082529648572548
R10EUROPE,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,,,,,,,,
