Country Code,Year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_start_year,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_start_year,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Wind_MW,Solar_MW,Gas_Growth_MW,Gas_FuelSwitch,Gas_Substitution,Wind_Growth_MW,Wind_FuelSwitch,Wind_Substitution,Solar_Growth_MW,Solar_FuelSwitch,Solar_Substitution,Coal_Phaseout_MW,Code,Electricity from solar (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Electricity from gas (TWh),Electricity from coal (TWh),Entity,Electricity generation (TWh),AR6_R10,ISO,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,max_coal,max_coal_year,max_perc_coal,max_perc_coal_year,max_cap_coal_year,Gen_Coal_vPeak,Gen_Solar_new_TWh,Gen_Solar_vPeakCoal,Gen_Wind_new_TWh,Gen_Wind_vPeakCoal,Gen_Nuclear_new_TWh,Gen_Nuclear_vPeakCoal,Gen_Gas_new_TWh,Gen_Gas_vPeakCoal,Gen_Growth,Gen_Coal_PhaseOut,RE_vPeakCoal,year_since_peak_gen,year_since_peak_share,rate_decline_gen,rate_decline_share,label
POL,2022,29159.6,157.3,1954.0,30626.6,4090.0,265.0,3004.0,68.0,13.354404341324209,0.865260916980664,9.808467149471376,4.789953830983535,10.280539468607383,3133.0,1999.0,23.0,3133.0,0.0,0.0,0.0,0.0,0.0,8.049746290952191,6687.0,415.0,2372.0,7.744901490860887,1.616905248807086,6535.0,21.33766072629675,4.454669393319691,415.0,1.3550312473470776,0.282890252215405,139673.13772994748,POL,8.15,19.76,0.0,12.61,124.1,Poland,179.3,R10EUROPE,POL,0.045454545454545456,0.1102063580591188,0.0,0.07032905744562186,0.6921360847741215,147.01,2006,0.9700874020494273,1991,2011,0.8441602612067206,8.15,0.05543840555064282,19.5,0.13264403782055642,0.0,0.0,8.03,0.05462213454867016,1.1282225698932047,-0.1558397387932794,0.18808244337119923,16,31,0.9739983674579962,0.8966171525009867,RE
GBR,2022,5234.0,26.8,1954.0,35856.5,15572.5,0.0,15050.0,68.0,43.4300614951264,0.0,41.97286405533167,85.40292555045808,8.562931083090092,35890.0,1924.0,98.0,35890.0,154.0,154.0,0.4290888826971301,0.4290888826971301,0.0,10.488213984141654,26457.0,2473.0,21959.0,61.24133699608161,0.7170871091517675,26247.0,73.20011713357411,0.8571148665197159,2473.0,6.896936399258154,0.0807576128663564,446998.9123310976,GBR,13.91,79.98,48.16,127.55,5.23,United Kingdom,324.89,R10EUROPE,GBR,0.042814491058512115,0.24617562867432055,0.14823478715873065,0.39259441657176275,0.016097756163624615,209.53,1991,0.6520507873280638,1991,1999,0.024960626163317904,13.91,0.06638667493914953,79.97,0.38166372357180356,-22.38000000000001,-0.10681048059943687,121.72999999999999,0.580966925977187,1.0169426812389635,-0.975039373836682,0.4480503985109531,31,31,3.145288302698974,2.0514613908530297,Mixed
CAN,2022,4706.8,25.3,1956.0,18604.2,9655.0,230.0,5163.4,66.0,51.89688349942486,1.23627997978951,27.7539480332398,74.70033648315972,8.456763550589773,22078.0,1959.0,63.0,22078.0,0.0,0.0,0.0,0.0,0.0,10.002336916578296,14024.0,1122.0,16954.0,91.1299599015276,1.2199404205103113,13881.0,74.61218434547038,0.998819923151093,1122.0,6.030896249234044,0.0807345258825391,351599.54375893617,CAN,5.56,38.13,82.28,67.09,40.74,Canada,638.42,R10NORTH_AM,CAN,0.008709000344600733,0.05972557250712698,0.12888067416434323,0.10508755991353655,0.06381379029479027,109.21,2000,0.1886037103099082,1998,1999,0.3730427616518634,5.54,0.050727955315447305,37.870000000000005,0.34676311693068407,13.120000000000005,0.1201355187253915,33.43000000000001,0.30610749931324976,1.457833531727864,-0.6269572383481365,0.3974910722461314,22,24,2.849805628855166,0.5199580000629913,Mixed
SRB,2022,4405.0,25.3,1956.0,4437.0,32.0,0.0,0.0,66.0,0.7212080234392608,0.0,0.0,0.7212080234392602,8.39049553837028,549.0,1984.0,38.0,549.0,0.0,0.0,0.0,0.0,0.0,6.3080984415095305,394.0,0.0,189.0,4.259634888438134,5.906250000000004,394.0,8.879873788595898,12.312500000000009,0.0,0.0,0.0,3176.921343249941,SRB,0.01,1.73,0.0,1.8,23.71,Serbia,36.18,R10REF_ECON,SRB,0.0002763957987838585,0.047816473189607515,0.0,0.04975124378109453,0.6553344389165285,28.71,2011,0.7551288795370857,2011,2008,0.8258446534308603,0.01,0.00034831069313827936,1.73,0.06025774991292233,0.0,0.0,1.3,0.04528039010797631,0.9359108324625565,-0.17415534656913967,0.06060606060606061,11,11,1.583230423355815,0.9072221874596109,None
SVN,2022,1069.0,5.2,1956.0,1469.0,125.0,0.0,410.0,66.0,8.509189925119129,0.0,27.910142954390743,27.229407760381207,6.974478911025045,490.0,1975.0,47.0,490.0,69.0,0.0,14.081632653061224,0.0,0.0,6.194405391104672,,,193.0,13.138189244383936,0.4825000000000001,,0.0,,,0.0,,29108.23689584751,SVN,0.44,0.01,5.59,0.47,3.21,Slovenia,13.27,R10EUROPE,SVN,0.033157498116051246,0.0007535795026375283,0.4212509419743783,0.03541823662396383,0.24189902034664656,5.48,2007,0.39246858577405863,1993,2017,0.5857664233576642,0.44,0.08029197080291971,0.01,0.0018248175182481751,-0.11000000000000032,-0.020072992700729982,0.019999999999999962,0.0036496350364963433,0.6770072992700731,-0.41423357664233584,0.08211678832116788,15,29,2.7615571776155723,0.5192053980255589,None
JPN,2022,53586.98,252.8,1957.0,53586.98,1618.9,413.4,1055.0,65.0,3.0210696702818485,0.7714560514513039,1.9687618149035453,0.0,10.889061407103611,84175.0,1964.0,58.0,84175.0,5858.0,1058.0,6.959310959310959,1.256905256905257,0.0,11.340653244029276,3438.0,7607.0,,,,,,,,,,,JPN,98.69,9.15,51.79,330.35,318.3,Japan,966.72,R10PAC_OECD,JPN,0.10208747103608076,0.009464995034756703,0.0535729063224098,0.34172252565375705,0.32925769612711026,341.72,2013,0.33704879529463283,2015,2022,0.9314643567833314,85.81,0.25111202153810136,3.96,0.011588434976003745,41.36,0.121034765304928,-68.89999999999998,-0.20162706309259035,0.8154336883998597,-0.0685356432166686,0.2627004565141051,9,7,0.7615071468518734,0.11130141667889393,RE
SVK,2022,561.0,3.3,1957.0,1285.0,724.0,0.0,0.0,65.0,56.34241245136187,0.0,0.0,56.34241245136187,6.329720905522696,1000.0,1976.0,46.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.907755278982137,,,603.0,46.9260700389105,0.8328729281767956,,0.0,,,0.0,,31608.093385214008,SVK,0.69,0.0,15.9,2.19,1.54,Slovakia,26.73,R10EUROPE,SVK,0.025813692480359144,0.0,0.5948372615039281,0.0819304152637486,0.05761316872427984,7.5,1990,0.3111015490533563,1992,2007,0.20533333333333334,0.69,0.092,0.0,0.0,3.860000000000001,0.5146666666666668,0.3699999999999999,0.04933333333333332,1.1653333333333336,-0.7946666666666666,0.092,32,30,2.4833333333333334,0.8449612677635882,None
UZB,2021,2493.0,14.0,1957.0,2584.0,241.0,0.0,0.0,64.0,9.326625386996904,0.0,0.0,3.52167182662538,7.821242083523558,12018.0,1961.0,60.0,12018.0,0.0,0.0,0.0,0.0,0.0,9.394160804893874,0.0,100.0,3080.0,119.19504643962848,33.84615384615392,0.0,0.0,0.0,100.0,3.8699690402476783,1.0989010989011012,8779.527863777072,UZB,0.01,0.0,0.0,43.97,9.12,Uzbekistan,59.2,R10REF_ECON,UZB,0.0001689189189189189,0.0,0.0,0.7427364864864864,0.15405405405405403,10.73,2016,0.22069852153417613,2002,2015,0.8499534016775395,0.01,0.0009319664492078285,0.0,0.0,0.0,0.0,7.1299999999999955,0.6644920782851813,1.2982292637465054,-0.15004659832246048,0.0009319664492078285,5,19,3.0009319664492096,0.3507603551585373,Gas
AUS,2022,24437.0,126.7,1958.0,31004.0,4971.0,181.0,1636.0,64.0,16.03341504322023,0.583795639272352,5.276738485356728,21.181137917688048,10.10385365616035,15285.0,1967.0,55.0,15285.0,480.0,0.0,3.140333660451423,0.0,0.0,9.634627234324936,11193.8,7486.4,3648.0,11.766223713069282,0.5555047967108266,9620.0,31.028254418784677,1.4649002588701074,7486.4,24.14656173396981,1.140003045530683,517603.4672945428,AUS,33.49,29.17,0.0,47.14,118.93,Australia,251.68,R10PAC_OECD,AUS,0.13306579783852512,0.11590114431023522,0.0,0.18730133502860774,0.47254450095359185,174.86,2004,0.8332853563481754,1997,2009,0.6801441152922337,33.42,0.19112432803385565,28.470000000000002,0.16281596705936177,0.0,0.0,20.41,0.11672194898776163,1.1636166075717718,-0.31985588470776627,0.35394029509321745,18,25,1.7769771372653682,1.442963421578334,Mixed
FIN,2022,1533.2,8.4,1958.0,3787.2,2026.0,78.0,228.0,64.0,53.49598648077736,2.0595690747782003,6.020278833967048,59.5162653147444,7.3351123335064,2089.0,1971.0,51.0,2089.0,60.0,0.0,2.8721876495931067,0.0,0.0,7.644440761556566,5147.7,0.0,610.0,16.106886354034643,0.2706299911268855,5147.7,135.92363751584284,2.283806566104704,0.0,0.0,0.0,91250.33798056612,FIN,0.3,12.1,25.06,1.32,2.97,Finland,72.99,R10EUROPE,FIN,0.004110152075626798,0.16577613371694752,0.3433347033840252,0.018084669132757913,0.040690505548705305,19.25,2003,0.2289486203615604,2003,2002,0.1542857142857143,0.3,0.015584415584415584,12.01,0.6238961038961038,2.3299999999999983,0.12103896103896095,-12.53,-0.6509090909090909,0.42389610389610377,-0.8457142857142856,0.6394805194805194,19,19,4.451127819548872,0.9908321832255531,RE
FRA,2022,2507.0,13.1,1958.0,8652.0,4374.0,0.0,2245.0,64.0,50.55478502080444,0.0,25.94775774387425,71.02404068423486,7.826842098158293,8780.0,1969.0,53.0,8780.0,0.0,0.0,0.0,0.0,0.0,9.080231686629162,17354.58,1911.0,8174.0,94.47526583448914,1.330187144019528,17331.58,200.31877022653725,2.820436126932466,1911.0,22.0873786407767,0.3109845402766477,178057.2699953768,FRA,19.98,38.46,297.2,43.0,4.4,France,469.48,R10EUROPE,FRA,0.04255772343869813,0.08192042259521172,0.6330408111101644,0.09159069608929027,0.009372071227741332,39.609997,1991,0.08770647225543599,1991,1999,0.11108306824663482,19.98,0.504418114447219,38.46,0.9709670010830852,-34.139999999999986,-0.8619036249863888,39.95,1.0085837673756957,1.4508962724738408,-0.8889169317533652,1.4753851155303042,31,31,2.867473973397952,0.25269161621836983,Mixed
GRC,2022,2225.0,12.3,1959.0,5278.0,1253.0,0.0,1800.0,63.0,23.74005305039788,0.0,34.103827207275486,57.84388025767336,7.707512194600341,5594.0,1968.0,54.0,5594.0,0.0,0.0,0.0,0.0,0.0,8.629449873761905,3773.6,262.0,2949.0,55.87343690791967,0.9659351457582706,2876.6,54.50170519136036,0.9422207664592204,262.0,4.964001515725654,0.0858172289551261,128702.63357332324,GRC,6.62,10.86,0.0,19.56,5.46,Greece,52.44,R10EUROPE,GRC,0.12623951182303586,0.20709382151029748,0.0,0.3729977116704805,0.10411899313501144,35.54,2005,0.7323594949244862,1994,2009,0.15362971299943726,6.62,0.1862689926842994,9.59,0.2698368036015757,0.0,0.0,11.389999999999999,0.32048396173325827,0.8033202025886325,-0.8463702870005627,0.4561057962858751,17,28,4.978648747062134,2.2437160778195526,Mixed
AUT,2022,0.0,0.0,1962.0,1993.0,1681.0,522.0,312.0,60.0,84.3452082288008,26.191670847967885,15.654791771199198,100.0,0.0,4647.0,1975.0,47.0,4647.0,43.0,43.0,0.9253281687109964,0.9253281687109964,0.0,8.443977129084978,2762.0,24.0,3881.0,194.7315604616157,1.9473156046161568,2762.0,138.58504766683393,1.3858504766683393,24.0,1.2042147516307076,0.012042147516307,0.0,AUT,2.73,6.93,0.0,11.76,0.14,Austria,64.69,R10EUROPE,AUT,0.042201267583861495,0.1071262946359561,0.0,0.1817900757458649,0.002164167568403154,8.44,2003,0.1453668618670341,2003,2000,0.016587677725118485,2.72,0.32227488151658773,6.56,0.7772511848341233,0.0,0.0,0.5999999999999996,0.07109004739336489,1.7855450236966819,-0.9834123222748815,1.099526066350711,19,19,5.175854327762534,0.753698391045426,RE
DNK,2022,1560.0,8.0,1962.0,5003.0,3208.0,371.0,235.0,60.0,64.12152708374975,7.41555066959824,4.697181690985409,68.81870877473516,7.352441100243583,843.0,1985.0,37.0,843.0,0.0,0.0,0.0,0.0,0.0,6.736966958001855,4538.0,1037.0,323.0,6.456126324205477,0.0938135347081034,4327.0,86.48810713571858,1.256752831832704,1037.0,20.727563461922845,0.3011908219575951,107357.18568858683,DNK,1.99,18.94,0.0,1.03,3.62,Denmark,34.42,R10EUROPE,DNK,0.05781522370714701,0.5502614758861127,0.0,0.029924462521789656,0.10517141196978501,39.67,1996,0.9151614668856047,1991,2001,0.09125283589614318,1.99,0.05016385177716158,17.71,0.4464330728510209,0.0,0.0,-4.6499999999999995,-0.11721704058482478,0.5175195361734308,-0.9087471641038568,0.4965969246281825,26,31,3.4951814003994497,2.6128711448897413,RE
CHL,2022,4323.0,22.6,1964.0,5189.0,752.0,154.0,441.0,58.0,14.492195027943728,2.9678165349778376,8.498747350163809,16.689150125264987,8.371704884667631,4737.0,1997.0,25.0,4737.0,0.0,0.0,0.0,0.0,0.0,8.463159302923751,3738.0,4657.0,,,,,,,,,,,CHL,14.52,8.82,,15.89,19.16,Chile,83.22,R10LATIN_AM,CHL,0.17447728911319393,0.10598413842826244,,0.19093967796202838,0.2302331170391733,31.95,2016,0.455478949684612,2013,2019,0.5996870109546166,11.959999999999999,0.37433489827856026,6.57,0.2056338028169014,,,3.8200000000000003,0.11956181533646323,1.3086071987480439,-0.40031298904538337,0.5799687010954617,6,9,6.67188315075639,2.502731473838208,Mixed
PRT,2022,0.0,0.0,1964.0,2028.0,1296.0,0.0,732.0,58.0,63.905325443786985,0.0,36.09467455621302,100.0,0.0,4252.0,1981.0,41.0,4252.0,82.0,82.0,1.928504233301976,1.928504233301976,0.0,8.355144739461839,4946.0,1112.8,3219.0,158.72781065088756,1.5872781065088757,4916.0,242.40631163708088,2.424063116370809,1112.8,54.87179487179487,0.5487179487179487,0.0,PRT,3.07,13.27,0.0,17.36,0.06,Portugal,46.96,R10EUROPE,PRT,0.0653747870528109,0.2825809199318569,0.0,0.36967632027257236,0.0012776831345826234,15.23,2005,0.40452488687782806,1995,1999,0.003939592908732764,3.07,0.2015758371634931,11.5,0.7550886408404465,0.0,0.0,3.75,0.24622455679579777,1.051214707813526,-0.9960604070912672,0.9566644780039395,17,27,5.859178865242748,1.4935081620120203,Mixed
ROU,2022,3285.0,19.1,1964.0,7735.0,2275.0,490.0,2175.0,58.0,29.411764705882355,6.334841628959276,28.11893988364577,57.53070458952812,8.09712193091871,3802.0,1963.0,59.0,3802.0,0.0,0.0,0.0,0.0,0.0,8.243282523048375,4731.0,359.0,1142.0,14.764059469941824,0.256629213483146,4731.0,61.16354234001293,1.06314606741573,359.0,4.641241111829348,0.0806741573033707,188988.36457659988,ROU,1.79,7.07,11.28,9.94,10.44,Romania,56.3,R10EUROPE,ROU,0.031793960923623445,0.12557726465364122,0.20035523978685613,0.17655417406749557,0.18543516873889876,25.82,2008,0.4256017505470459,2003,2005,0.40433772269558477,1.79,0.06932610379550735,7.07,0.2738187451587916,0.049999999999998934,0.001936483346243181,0.019999999999999574,0.0007745933384972724,0.6649883810999223,-0.5956622773044152,0.343144848954299,14,19,4.2547305521743946,1.2640346410955114,RE
BRA,2022,3177.0,15.7,1965.0,3278.0,518.0,0.0,0.0,57.0,15.802318486882244,0.0,0.0,3.081147040878591,8.063692634269517,14496.0,1976.0,46.0,14496.0,0.0,0.0,0.0,0.0,0.0,9.58162802828276,21262.0,5104.0,4724.0,144.11226357535082,46.77227722772268,11154.0,340.2684563758389,110.4356435643562,5104.0,155.70469798657717,50.53465346534643,9788.804148871282,BRA,26.48,80.0,14.54,48.87,15.65,Brazil,680.88,R10LATIN_AM,BRA,0.03889084713899659,0.11749500646222535,0.021354717424509458,0.07177476207261191,0.022984960639172835,26.17,2014,0.04569868957433035,2015,2016,0.5980129919755445,26.46,1.011081390905617,67.78999999999999,2.590370653419946,0.0799999999999983,0.0030569354222391397,-28.880000000000003,-1.1035536874283531,4.783721818876575,-0.4019870080244555,3.6014520443255633,8,7,5.024837600305694,0.3244818419308216,RE
ISR,2021,4900.0,24.8,1981.0,4900.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,8.496990484098719,12230.0,1958.0,63.0,12230.0,0.0,0.0,0.0,0.0,0.0,9.411647228681218,0.0,716.0,,,,,,,,,,,ISR,4.64,0.19,0.0,48.64,19.49,Israel,73.08,R10MIDDLE_EAST,ISR,0.06349206349206349,0.0025998905309250137,0.0,0.6655719759168035,0.26669403393541324,27.47,2001,0.664811229428848,2001,2021,0.7095012741172187,4.64,0.16891153986166726,0.18,0.006552602839461231,0.0,0.0,34.81,1.267200582453586,2.156170367673826,-0.29049872588278125,0.1754641427011285,20,20,1.4524936294139061,1.9905859774671737,Gas
